id,generic_name,category,safety_stock
P-0153,ベノジェクトサイケツシン,注射針,
P-0154,スピッツセイカガク,採血・便,
P-0155,スピッツトウ,採血・便,
P-0156,スピッツマッショウケツエキマッケツ,採血・便,
P-0157,ボックスティッシュ,その他,
P-0158,ソウキソウスイボタン,内視鏡,
P-0159,チャンネルセンジョウアダプター,内視鏡,
P-0160,フクソウスイコウキャップ,内視鏡,
P-0161,キュウインシリンダーセンジョウホジョグ,内視鏡,
P-0162,ボウスイキャップ,内視鏡,
P-0163,カンロプラグ,内視鏡,
P-0164,シーエフヨウセンタンフード,内視鏡,
P-0165,マウスピースダイシロ,内視鏡,
P-0166,マウスピースショウ,内視鏡,
P-0167,スピッツビーエヌピー,採血・便,
P-0168,スピッツ プロトロンビン,採血・便,
P-0169,スピッツエッチシーブイアールエヌエー,採血・便,
P-0170,スピッツハンプグルカゴン,採血・便,
P-0171,スピッツ アンモニア,採血・便,
P-0172,スピッツヤクザイ,採血・便,
P-0173,スピッツレニンハンプ,採血・便,
P-0174,スピッツビーエヌピー,採血・便,
P-0175,スピッツエッチシーブイ,採血・便,
P-0176,スピッツエッチシーブイエッチビーブイディーエヌエータックマン,採血・便,
P-0177,スピッツ プロトロンビン,採血・便,
P-0178,スピッツケツエキガタ,採血・便,
P-0179,ヨウキカクタン,採血・便,
P-0180,スピッツケンニョウ,採血・便,
P-0181,ケンベンヨウキバイヨウサルモネラ,採血・便,
P-0182,ケンベンヨウキノロウィルス,採血・便,
P-0183,コピーヨウシ,事務用品,
P-0184,センタクヨウセンザイ,その他,
P-0185,シーディーアール,その他,
P-0186,イーケージーパッドナイシキョウシツヨウ,その他,
P-0187,ソウスイタンク,内視鏡,
P-0188,ワソラン,注射液,
P-0189,ベノジェクトホルダー,採血・便,
P-0190,スーパーキャス,注射針,
P-0191,エンサンモルヒネジョウ,その他,
P-0192,エンサンモルヒネチュウ,その他,
P-0193,サンソエンチョウチューブ,その他,
P-0194,ケツアツケイカフ,その他,
P-0195,エクステンションチューブサンポウカッセンツキ,注射針,
P-0196,サンポウカッセン,注射針,
P-0197,コキテストサイシュパック,その他,
P-0198,ケツアツケイマンシェット,その他,
P-0199,ケツアツケイソウキキュウ,その他,
P-0200,ケツアツケイショウニヨウマンシェット,その他,
P-0201,ケツアツケイゴムキュウカバー,その他,
P-0202,プレパラートボックス,その他,
P-0203,サージンパッド,その他,
P-0204,シルキーポア ドレッシング,その他,
P-0205,サージカルテープロイコポール,その他,
P-0206,ステリストリップ,その他,
P-0207,メンキュウ,その他,
P-0208,マウスピースダイキイロ,内視鏡,
P-0209,マウスピースエンドリーダーマルチタイプ,内視鏡,
P-0210,ハントウメイゴミブクロ,その他,
P-0211,レジブクロニュウハク,その他,
P-0212,ボウスイフィルムロール,その他,
P-0213,カバーメドバンソウコウ,その他,
P-0214,コンタクトレンズセンジョウエキ,その他,
P-0215,サンソビコウカニューラ,その他,
P-0216,ビーディーインサイトジョウミャクリュウチカテーテル,注射針,
P-0217,エーイーディーツカイステパドル,その他,
P-0218,ネラトンカテーテルドウニョウヨウ,その他,
P-0219,ゲルソニック,その他,
P-0220,シンサツダイカバー,その他,
P-0221,コウキンシンサツダイカバー,その他,
P-0222,ハンドタオル,その他,
P-0223,カンチョウヨウボウスイエプロン,その他,
P-0224,センノサイド,内視鏡,
P-0225,ツイタテヨウカーテン,その他,
P-0226,ニトリルグローブ ラベンダー,その他,
P-0227,ポリエチレンエプロン,その他,
P-0228,ジョイダイドコロヨウセンザイ,その他,
P-0229,トイレショウシュウスプレー,その他,
P-0230,ハブラシ,その他,
P-0231,オムツ アテント,その他,
P-0232,オムツ ライフリー,その他,
P-0233,スクリットヨウボトル,その他,
P-0234,ホワイトボードヨウイレーザー,その他,
P-0235,センタクキイトクズクリーナー,その他,
P-0236,セイケンカンシジーエフ,内視鏡,
P-0237,セイケンカンシシーエフ,内視鏡,
P-0238,ケンサギエム,内視鏡,
P-0239,ケンサギエル,内視鏡,
P-0240,トイレノオソウジシートオレンジ,その他,
P-0241,トイレノオソウジシートローズ,その他,
P-0242,プリンペランジョウ,内視鏡,
P-0243,チュウシャオーティープラスト,その他,
P-0244,パンフレットビョウインアンナイ,事務用品,
P-0245,ジョキンデキルアルコールタオル,その他,
P-0246,フウトウカクゴゴウシロ,事務用品,
P-0247,フラットファイル,事務用品,
P-0248,シリンジルアー,注射器,
P-0249,フローマックスチュウシャシン,注射針,
P-0250,リュウサンマグネシウムホセイエキ,注射液,
P-0251,イリョウヨウサンソボンベ,その他,
P-0252,クリームクレンザーホワイト,その他,
P-0253,ダイドコロヨウスポンジ,その他,
P-0254,キッチンハイター,その他,
P-0255,サバイバルカード,事務用品,
P-0256,セイセイスイ,その他,
P-0257,ショウニヨウハイエンキュウキンワクチン,ワクチン,
P-0258,パイプユニッシュ,その他,
P-0259,ライトカラーフェイスタオル,その他,
P-0260,クイックナビ ノロ２,その他,
P-0261,クリアーホルダーA4,事務用品,
P-0262,コウカンヨウマンセッタゴムブクロ,その他,
P-0263,インプリンターH710 インクローラー,事務用品,
P-0264,ジョキンデキルアルコールタオルツメカエヨウ,その他,
P-0265,カルテホルダー,事務用品,
P-0266,スピッツレニンカッセイ,採血・便,
P-0267,ADソフトイヤーチップ グレーダイ,その他,
P-0268,ヨンシュコンゴウワクチン,ワクチン,
P-0269,リープレスイチゴウ,その他,
P-0270,リープレスニゴウ,その他,
P-0271,リープレスゴゴウ,その他,
P-0272,オキシドール,その他,
P-0273,ラピッドエスピー,その他,
P-0274,ミケールポア,その他,
P-0275,スピッツ ビーエヌピー,採血・便,
P-0276,スピッツケツエキガタ,採血・便,
P-0277,スピッツセイカガク,採血・便,
P-0278,スピッツケットウ,採血・便,
P-0279,スピッツマッケツ,採血・便,
P-0280,エンカナトリウムチュウシャエキ,注射液,
P-0281,セイケンヨウキ,内視鏡,
P-0282,スポンジブラシフラスコ,内視鏡,
P-0283,スピッツヤクザイアンモニア,採血・便,
P-0284,コンタクトセンジョウエキハード,その他,
P-0285,ケンベンヨウキ ベンセンケツ,採血・便,
P-0286,スピッツケンニョウ,採血・便,
P-0287,スピッツプロトロンビン,採血・便,
P-0288,カンタンマイペットギョウムヨウ,その他,
P-0289,ガラスマジックリンツメカエヨウ,その他,
P-0290,スピッツエッチビーブイエッチシーブイアールエヌエー,採血・便,
P-0291,ケンベンヨウキサイベンヨウキノロヨウ,採血・便,
P-0292,ケンベンヨウキベンチュウラン,採血・便,
P-0293,トランスポアサージカルテープトウメイ,その他,
P-0294,コキテストサイシュパック,その他,
P-0295,インジゴカルミン,内視鏡,
P-0296,コキサイシュバッグ,内視鏡,
P-0297,シンデンズモニタヨウディスポデンキョク,その他,
P-0298,カルトスタット,その他,
P-0299,ハンドスキッシュアルコールショウドクエキ,その他,
P-0300,マグコロールピ－,内視鏡,
P-0301,カフツキキカンナイチューブ,その他,
P-0302,センシケアエスサイズ,内視鏡,
P-0303,センシケアエックエスサイズ,内視鏡,
P-0304,スピッツレニンカッセイ,採血・便,
P-0305,スピッツハンプ,採血・便,
P-0306,イムノエース,その他,
P-0307,ファインビジョン インフルエンザ,その他,
P-0308,トイレルックギョウムヨウ,その他,
P-0309,ニホンノウエンワクチンエンセバック,ワクチン,
P-0310,テキサントショウドクエキ,内視鏡,
P-0311,ビーガタカンエンワクチンショウニヨウ,ワクチン,
P-0312,キッチンアワハイター,その他,
P-0313,キッチンアワハイターツメカエヨウ,その他,
P-0314,アドナチュウ,注射液,
P-0315,セイケンカンシハリツキアナアキガタ,内視鏡,
P-0316,ラミネートパウチ,事務用品,
P-0317,ケンベンヨウキベンセンケツ,採血・便,
P-0318,スピッツケツエキガタ,採血・便,
P-0319,スピッツハンプ,採血・便,
P-0320,メディカルコットン,その他,
P-0321,コウソケイヨウテアライセンザイ,内視鏡,
P-0322,バスタオル,その他,
P-0323,ハイポエタノール,その他,
P-0324,テアライヨウセッケンエキ,その他,
P-0325,ディスオーパ,内視鏡,
P-0326,メッキン,その他,
P-0327,アリエールツメカエヨウ,その他,
P-0328,トランスポア,その他,
P-0329,オーペグハイゴウナイヨウザイ,内視鏡,
P-0330,メディゼリー,その他,
P-0331,シリコンフロートストッパー,内視鏡,
P-0332,シリコンパッキン（ミニックⅡ用）,内視鏡,
P-0333,フィルター（ミニックⅡ用）,内視鏡,
P-0334,カイシュウネットメッキンズミダエンケイ,内視鏡,
P-0335,キシロカインチュウポリ,注射液,
P-0336,ラテックスマイクログリップ,その他,
P-0337,カラーナンバー,事務用品,
P-0338,キュウインボタン,内視鏡,
P-0339,ソウキソウスイボタン,内視鏡,
P-0340,センジョウアダプター,内視鏡,
P-0341,カンロプラグ,内視鏡,
P-0342,ソウスイコネクターセン,内視鏡,
P-0343,シリンジ,内視鏡,
P-0344,カンシセン,内視鏡,
P-0345,マウスピース,内視鏡,
P-0346,カンシコウセンジョウブラシ,内視鏡,
P-0347,チャンネルセンジョウブラシ,内視鏡,
P-0348,チャンネルセンジョウアダプター,内視鏡,
P-0349,キミツテスター,内視鏡,
P-0350,ソウキソウスイカンシコウセンジョウチューブ,内視鏡,
P-0351,ロウスイケンチヨウチューブ,内視鏡,
P-0352,ジェイチューブ,内視鏡,
P-0353,フクソウスイコウヨウセンジョウチューブ,内視鏡,
P-0354,クリーントップミッセン,内視鏡,
P-0355,レンズクリーナー,内視鏡,
P-0356,セイケンカンシアナアキガタ,内視鏡,
P-0357,スワブパッド（エタノール）,その他,
P-0358,メッキンロールバッグ,内視鏡,
P-0359,ニップローデⅢ,その他,
P-0360,キョウブヨウ,その他,
P-0361,シシヨウ,その他,
P-0362,ドデカムコウクウカン,その他,
P-0363,オウトブツヨウギョウコザイ,その他,
P-0364,センタクソウクリーナー,その他,
P-0365,メッキンゼツアツシ,その他,
P-0366,ジョキンプラスギョウムヨウ,その他,
P-0367,マウスピースチャ,内視鏡,
P-0368,ドライケムスライド ＲＳウィルス,その他,
P-0369,ドライケムスライド マイコプラズマ,その他,
P-0370,ドライケムスライド アデノウィルス,その他,
P-0371,ドライケムスライド インフル,その他,
P-0372,トイレルック 360ml,その他,
P-0373,ビーカンオトナヨウ,ワクチン,
P-0374,アワハイター,その他,
P-0375,ジフレモン,その他,
P-0376,エキタイセンザイ,その他,
P-0377,バリューマスク ホワイト,その他,
P-0378,マシンワクチン,ワクチン,
P-0379,ウォーターチューブ 50入,内視鏡,
P-0380,テリボンヒカチュウヨウヨウカイエキツキ,注射液,
P-0381,ケンニョウシケンシ,その他,
P-0382,ケンベンヨウキイデンシゾウフクノロテイリョウ,採血・便,
P-0383,スワブパッド（イソプロ） 300枚,その他,
P-0384,ラミネートパウチフィルム A3,事務用品,
P-0385,ウェルパス,その他,
P-0386,ジェイマスク,その他,
P-0387,ケンベンヨウキ,採血・便,
P-0388,マスクエヌ,その他,
P-0389,ダルベポエチン,注射液,
P-0390,ポリエチレンエプロン ブルー,内視鏡,
P-0391,ポリエチレンエプロン ホワイト,内視鏡,
P-0392,ポリエチレンエプロン ピンク,内視鏡,
P-0393,ガーダシル シリンジ0.5ｍｌ,ワクチン,
P-0394,リビィ ペーパータオル,その他,
P-0395,シルデナフィルOD 50mg ﾚﾓﾝ風味,その他,
P-0396,タダラフィル 20mg,その他,
P-0397,ステリストリップ スキントーン 10袋入,その他,
P-0398,モップカエイト,その他,
P-0399,ソウスイタンク,内視鏡,
P-0400,フェルラックエプロン,内視鏡,
P-0401,ペンニードルプラス 32G,注射針,
P-0402,フェイスタオル,その他,
P-0403,スルペラゾン,注射液,
P-0404,ワンタッチペンランセット,その他,
P-0405,クイックセンサー,その他,
P-0406,ケンニョウヨウコップ,その他,
P-0407,チュウシャシン25,注射針,
P-0408,クインチューブ,その他,
P-0409,プラボトルトウブ,内視鏡,
P-0410,ボトルホルダー（ミニックヨウ）,内視鏡,
P-0411,プラキュウインビン,内視鏡,
P-0412,ホンタイトウブセツゾク,内視鏡,
P-0413,ソル・コーテフ,注射液,
P-0414,ボスミンチュウ,注射液,
P-0415,ガスタ－チュウシャエキ,注射液,
P-0416,ドラムシキセンタクキカバー,その他,
P-0417,フタラ－ル,内視鏡,
P-0418,ケツアツケイヨウゴムキュウ,その他,
P-0419,ハイキフィルター,内視鏡,
P-0420,アルウォッシュ,内視鏡,
P-0421,コンファゼリープロコウネンド,内視鏡,
P-0422,デンカットメン,その他,
P-0423,シングリックスキンチュウヨウ,ワクチン,
P-0424,ジャンボカンシシーエフヨウハリツキ,内視鏡,
P-0425,ジャンボカンシシーエフヨウヒョウジュン,内視鏡,
P-0426,アルボナースシュシショウドクエキ,その他,
P-0427,センシケアエムサイズ,内視鏡,
P-0428,カラークケツタイヨウゴム,その他,
P-0429,ファインジェットフンムガタ,内視鏡,
P-0430,プロポフォールジョウチュウ,注射液,
P-0431,ユエキトウヨセット,注射針,
P-0432,サージット,その他,
P-0433,イントロカンセーフティ,注射針,
P-0434,ジェイエムエスエキステンションチューブ,注射針,
